科名,family_c,學名,主要中名,refsource之第一筆,參考連結之第一筆
Erebidae,裳蛾科,Cidariplura gladiata,棕胸鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 397,#http://www.facebook.com/photo.php?fbid=295730490510573&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Cifuna locuples,腎毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 22,#https://www.facebook.com/photo.php?fbid=379358492171117&set=oa.544207992258097&type=1&relevant_count=1&ref=nf#
Erebidae,裳蛾科,Creatonotos transiens vacillans,灰白燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 48,#https://www.facebook.com/photo.php?fbid=254220688053601&set=oa.463408530418564&type=3&theater#
Erebidae,裳蛾科,Cyana hamata,二斑叉紋苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 110,#https://www.facebook.com/photo.php?fbid=309586502458305&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Cyana propinqua,三斑離苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 115,#https://www.facebook.com/photo.php?fbid=254238788051791&set=oa.463437060415711&type=3&theater#
Erebidae,裳蛾科,Cyana sanguinea,二斑紅緣苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 111,#https://www.facebook.com/photo.php?fbid=343287889129563&set=oa.589852744440808&type=3&theater#
Erebidae,裳蛾科,Cyana subalba,短棒苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 117,#https://www.facebook.com/photo.php?fbid=586618744733946&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Daddala lucilla,光炬夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 216,#https://www.facebook.com/photo.php?fbid=489953187685487&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Dasychira mendosa,基斑毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 25,#https://www.facebook.com/photo.php?fbid=255505077925162&set=oa.462060277220056&type=3&theater#
Erebidae,裳蛾科,Diduga flavicostata,黃波緣苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 157,#https://www.facebook.com/photo.php?fbid=309679682448729&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Dura alba,扇毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 39,#https://www.facebook.com/photo.php?fbid=418394464934186&set=oa.462259177200166&type=3&theater#
Erebidae,裳蛾科,Eilema arizana,白苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 77,#https://www.facebook.com/photo.php?fbid=418854901554809&set=oa.462259177200166&type=3&theater#
Erebidae,裳蛾科,Eilema costipuncta,緣點苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 78,#https://www.facebook.com/photo.php?fbid=339335562820649&set=oa.475278785817685&type=1&theater#
Erebidae,裳蛾科,Eilema obliquistria,凹翅土苔蛾,Lepidoptera of Taiwan Volume 1 ;  Page : 166,#https://www.facebook.com/photo.php?fbid=866414766705192&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Eilema usuguronis,淡白凹苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 88,#https://www.facebook.com/photo.php?fbid=571382159551075&set=oa.461796713913079&type=3&theater#
Erebidae,裳蛾科,Ercheia umbrosa,陰耳夜蛾,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 99,#https://www.facebook.com/photo.php?fbid=462663140487890&set=oa.458927214200029&type=3&theater#
Erebidae,裳蛾科,Erebus albicincta obscurata,玉邊目夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 151,#https://www.facebook.com/photo.php?fbid=590557614363249&set=gm.757320504280177&type=1#
Erebidae,裳蛾科,Erebus caprimulgus,羊魔目夜蛾,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 61,#http://www.facebook.com/photo.php?fbid=223711174407260&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Erebus ephesperis,魔目裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 152,#https://www.facebook.com/photo.php?fbid=815495038463417&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Erebus gemmans,玉線目夜蛾,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 57,#https://www.facebook.com/photo.php?fbid=197246250396211&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Eressa confinis finitima,斑腹鹿蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 189,#http://www.facebook.com/photo.php?fbid=3272768934474&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Eudocima homaena,鑲落葉夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 27,#http://www.facebook.com/photo.php?fbid=393930577326294&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Eudocima salaminia,豔葉夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 28,#http://www.facebook.com/photo.php?fbid=418753811478247&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Eugoa grisea,雙點良苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 159,#https://www.facebook.com/photo.php?fbid=418394491600850&set=oa.462259177200166&type=3&theater#
Erebidae,裳蛾科,Euproctis baibarana,,Lepidoptera of Taiwan Volume 1 ;  Page : 165,#https://www.facebook.com/photo.php?fbid=255495441259459&set=oa.462004073892343&type=3&theater#
Erebidae,裳蛾科,Euproctis dissimilis,雙線黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 72,#https://www.facebook.com/photo.php?fbid=396771647104559&set=oa.464023377023746&type=3&theater#
Erebidae,裳蛾科,Euproctis inornata,白斑黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 74,#https://www.facebook.com/photo.php?fbid=572514416181144&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Euproctis insulata,黃斑黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 75,#https://www.facebook.com/photo.php?fbid=288145191320899&set=oa.467684346657649&type=3&theater#
Erebidae,裳蛾科,Euproctis kanshireia,頂斑黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 77,#https://www.facebook.com/photo.php?fbid=489948944352578&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Euproctis nigricauda,橙黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 83,#https://www.facebook.com/photo.php?fbid=571382209551070&set=oa.461796713913079&type=3&theater#
Erebidae,裳蛾科,Euproctis staudingeri,寬帶黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 96,#https://www.facebook.com/photo.php?fbid=464500613637476&set=oa.458927214200029&type=3&theater#
Erebidae,裳蛾科,Euproctis taiwana,台灣黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 98,#https://www.facebook.com/photo.php?fbid=418109751553097&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Euproctis virguncula,黑櫛白毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 104,#https://www.facebook.com/photo.php?fbid=489949104352562&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Fodina contigua,白符帶夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 237,#https://www.facebook.com/photo.php?fbid=838316892862904&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Hemipsilia coavestis,半明苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 156,#http://www.facebook.com/photo.php?fbid=245169602188881&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Hepatica irrorata,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 235,#https://www.facebook.com/photo.php?fbid=568530153194020&set=gm.534123670013716&type=1&theater#
Erebidae,裳蛾科,Hipoepa biasalis,雙弧瓢鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 429,#https://www.facebook.com/photo.php?fbid=418394514934181&set=oa.462259177200166&type=3&theater#
Erebidae,裳蛾科,Hipoepa fractalis,中瓢鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 430,#https://www.facebook.com/photo.php?fbid=853140184713689&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Hydrillodes gravatalis,曲斑亥鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 451,#https://www.facebook.com/photo.php?fbid=10151446938055583&set=oa.459529720806445&type=3&theater#
Erebidae,裳蛾科,Hydrillodes lentalis,?亥鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 449,#https://www.facebook.com/photo.php?fbid=334102526747553&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Hydrillodes pseudomorosa,,Lepidoptera of Taiwan Volume 1 ;  Page : 172,#https://www.facebook.com/photo.php?fbid=10200594516617985&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Hypena longipennis,長翅髯鬚夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 371,#https://www.facebook.com/photo.php?fbid=394740217245330&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Hypena sagitta,馬蹄髯鬚夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 368,#https://www.facebook.com/photo.php?fbid=638359332903205&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Hypena trigonalis,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 370,#https://www.facebook.com/photo.php?fbid=387189538054679&set=oa.544207992258097&type=1&relevant_count=1&ref=nf#
Erebidae,裳蛾科,Hypersypnoides punctosa,,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 102,#https://www.facebook.com/photo.php?fbid=394717967247555&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Hypersypnoides umbrosa,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 166,#https://www.facebook.com/photo.php?fbid=228960927215618&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Hypospila bolinoides,濁裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 47,#http://www.facebook.com/photo.php?fbid=268820933239102&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Ilema kosemponica,甲仙毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 19,#https://www.facebook.com/photo.php?fbid=596790780427886&set=oa.626549394104476&type=3&theater#
Erebidae,裳蛾科,Itmaharela basalis,基伊裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 115,#https://www.facebook.com/photo.php?fbid=733588470066887&set=oa.879455338733359&type=3&permPage=1#
Erebidae,裳蛾科,Lemyra alikangensis,三條橙燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 32,#https://www.facebook.com/photo.php?fbid=343047252486960&set=oa.589852744440808&type=3&theater#
Erebidae,裳蛾科,Lemyra imparillis,暗點燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 39,#https://www.facebook.com/photo.php?fbid=372838319440428&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Lemyra rhodophilodes,擬姬白望燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 36,#https://www.facebook.com/photo.php?fbid=181319441993076&set=oa.486546851357545&type=1&theater#
Erebidae,裳蛾科,Locharna strigipennis,細紋黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 60,#https://www.facebook.com/photo.php?fbid=10152423561639525&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Lymantria concolor concolor,絡毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 46,#https://www.facebook.com/photo.php?fbid=1434319160168428&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Lymantria iris,,,#https://www.facebook.com/photo.php?fbid=874255329255185&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Lymantria mathura subpallida,波斑毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 47,#https://www.facebook.com/photo.php?fbid=470303112986788&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Lymantria sinica sinica,,,#https://www.facebook.com/photo.php?fbid=150034075121613&set=oa.433870243291873&type=1&theater#
Erebidae,裳蛾科,Lymantria xylina,黑角舞蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 53,#https://www.facebook.com/photo.php?fbid=310806155669673&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Macaduma cretacea,小灰苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 106,#https://www.facebook.com/photo.php?fbid=418855101554789&set=oa.462259177200166&type=3&theater#
Erebidae,裳蛾科,Macrobrochis gigas,巨斑苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 104,#http://www.facebook.com/photo.php?fbid=3338596863995&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Mataeomera biangulata,,,#https://www.facebook.com/photo.php?fbid=254220611386942&set=oa.463408530418564&type=3&theater#
Erebidae,裳蛾科,Mecodina albodentata,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 62,#https://www.facebook.com/photo.php?fbid=902124243134565&set=gm.658389274253821&type=1&theater#
Erebidae,裳蛾科,Metaemene atrigutta,姬胡麻斑小夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 269,#https://www.facebook.com/photo.php?fbid=4989477694121&set=oa.465470320212385&type=3&theater#
Erebidae,裳蛾科,Miltochrista convexa,,認識台灣的昆蟲 7 燈蛾科 ;  Page : 140,#https://www.facebook.com/photo.php?fbid=377639262343040&set=oa.544207992258097&type=1&theater#
Erebidae,裳蛾科,Miltochrista ziczac,彎拐美苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 145,#https://www.facebook.com/photo.php?fbid=654315307916040&set=oa.465023146923769&type=3&theater#
Erebidae,裳蛾科,Mithuna arizana,雙線苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 76,#https://www.facebook.com/photo.php?fbid=653445584672204&set=oa.461210637305020&type=1&theater#
Erebidae,裳蛾科,Mocis frugalis,實毛脛夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 192,#https://www.facebook.com/photo.php?fbid=671342059605404&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Mocis undata,毛脛夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 193,#http://www.facebook.com/photo.php?fbid=242682535770390&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Nyctemera adversata,粉蝶燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 17,#https://www.facebook.com/photo.php?fbid=466357230045183&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Nyctemera coleta,毛脛蝶燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 21,#https://www.facebook.com/photo.php?fbid=629609563734707&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Nyctemera formosana,後凸蝶燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 27,#https://www.facebook.com/photo.php?fbid=466359283378311&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Nyctemera lacticinia,五斑蝶燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 19,#https://www.facebook.com/photo.php?fbid=869282239764389&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Olene dudgeoni,桃毒蛾,鞍馬山的蛾 2 ;  Page : 123,#https://www.facebook.com/photo.php?fbid=3357059645553&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Olene mendosa,基斑毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 25,#https://www.facebook.com/photo.php?fbid=456564371024050&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Ommatophora luminosa,瞳夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 111,#https://www.facebook.com/photo.php?fbid=4989475974078&set=oa.465470320212385&type=3&theater#
Erebidae,裳蛾科,Ophiusa trapezium,,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 128,#https://www.facebook.com/photo.php?fbid=3370245935202&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Orgyia postica,小白紋毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 30,#https://www.facebook.com/photo.php?fbid=580301698657018&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Oruza divisa,粉條巧夜蛾,Lepidoptera of Taiwan Volume 1 ;  Page : 189,#https://www.facebook.com/photo.php?fbid=618881144867451&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Oxyodes scrobiculata,佩夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 81,#https://www.facebook.com/photo.php?fbid=231430273638754&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Pangrapta costinotata,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 71,#https://www.facebook.com/photo.php?fbid=461361293951408&set=oa.461679043924846&type=3&theater#
Erebidae,裳蛾科,Pangrapta plumbilineata,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 76,#https://www.facebook.com/photo.php?fbid=430157160424583&set=oa.465220416904042&type=3&theater#
Erebidae,裳蛾科,Paracolax fentoni,小奴裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 388,#https://www.facebook.com/photo.php?fbid=854745161206319&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Paracolax sugii,杉氏奴裳蛾,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 10,#https://www.facebook.com/photo.php?fbid=343856455739373&set=oa.589852744440808&type=3&theater#
Erebidae,裳蛾科,Parallelia stuposa,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 181,#http://www.facebook.com/photo.php?fbid=3272749293983&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Parasiccia punctilinea,灰綠小苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 126,#https://www.facebook.com/photo.php?fbid=421070367999929&set=oa.465220416904042&type=3&theater#
Erebidae,裳蛾科,Pelosia muscerda tetrasticta,六點苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 73,#https://www.facebook.com/photo.php?fbid=597213803718917&set=oa.626549394104476&type=3&theater#
Erebidae,裳蛾科,Perciana marmorea,修夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 141,#https://www.facebook.com/photo.php?fbid=339039366251362&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Pericyma cruegeri,,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 75,#https://www.facebook.com/photo.php?fbid=4079289710480&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Perina nuda,透翅毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 61,#https://www.facebook.com/photo.php?fbid=603353106420255&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Philenora latifasciata,淡褐帶小苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 150,#https://www.facebook.com/photo.php?fbid=568529869860715&set=gm.534123526680397&type=1&theater#
Erebidae,裳蛾科,Phyllodes eyndhovii,黃帶擬葉夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 159,#https://www.facebook.com/photo.php?fbid=3370224734672&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Pida decolorata maculosa,灰白毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 58,#https://www.facebook.com/photo.php?fbid=440069619355370&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Pindara illibata,失巾夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 173,#https://www.facebook.com/photo.php?fbid=579049175448937&set=o.177883715557195&type=3&permPage=1#
Erebidae,裳蛾科,Plusiodonta coelonota,肖金夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 34,#https://www.facebook.com/photo.php?fbid=209207812540892&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Progonia olieusalis,,,#https://www.facebook.com/photo.php?fbid=652029088219323&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Psimada quadripennis,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 86,#https://www.facebook.com/photo.php?fbid=343047072486978&set=oa.589852744440808&type=3&theater#
Erebidae,裳蛾科,Rusicada combinans,連錦葵裳蛾,合歡山的蛾 ;  Page : 293,#https://www.facebook.com/photo.php?fbid=171254569666230&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Rusicada fulvida,,,#https://www.facebook.com/photo.php?fbid=453049988041369&set=o.177883715557195&type=1&theater#
Erebidae,裳蛾科,Rusicada privata,紅棕錦葵裳蛾,合歡山的蛾 ;  Page : 293,#http://www.facebook.com/photo.php?fbid=174698065991867&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Schistophleps bipuncta,珠苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 152,#https://www.facebook.com/photo.php?fbid=653445681338861&set=oa.461210637305020&type=1&theater#
Erebidae,裳蛾科,Semiothisops macariata,五角裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 79,#https://www.facebook.com/photo.php?fbid=231424643639317&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Serrodes campana,鈴斑翅裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 222,#https://www.facebook.com/photo.php?fbid=407586739281954&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Siccia taiwana,紛點苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 122,#https://www.facebook.com/photo.php?fbid=419749954798637&set=oa.462259177200166&type=3&theater#
Erebidae,裳蛾科,Simplicia bimarginata,弧緣貧裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 426,#https://www.facebook.com/photo.php?fbid=246279628908839&set=oa.649037245189024&type=1&theater#
Erebidae,裳蛾科,Sinarella nigrisigna,黑點辛裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 415,#https://www.facebook.com/photo.php?fbid=246279608908841&set=oa.649037245189024&type=1&theater#
Erebidae,裳蛾科,Somena scintillans,緣黃毒蛾,認識台灣的昆蟲 4 鱗翅目毒蛾科 ;  Page : 89,#https://www.facebook.com/photo.php?fbid=571400442882580&set=oa.461796713913079&type=3&theater#
Erebidae,裳蛾科,Spilarctia clava,棍棒污燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 58,#https://www.facebook.com/photo.php?fbid=1434002106866800&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Spilarctia postrubida,橙污燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 65,#https://www.facebook.com/photo.php?fbid=665276130212946&set=gm.652587814833967&type=1#
Erebidae,裳蛾科,Spilarctia subcarnea,人紋污燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 67,#https://www.facebook.com/photo.php?fbid=891404354210044&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Spilarctia subtestacea,黃腹污燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 69,#http://www.facebook.com/photo.php?fbid=220622814719500&set=o.177883715557195&type=1&ref=nf#
Erebidae,裳蛾科,Spilarctia tienmushana werneri,,Lepidoptera of Taiwan Volume 1 ;  Page : 170,#https://www.facebook.com/photo.php?fbid=369388663172843&set=oa.468623806563703&type=3&theater#
Erebidae,裳蛾科,Spilarctia wilemani,褐赭污燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 70,#https://www.facebook.com/photo.php?fbid=489930074354465&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Stenhypena costalis,莖狹翅鬚裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 395,#https://www.facebook.com/photo.php?fbid=256843327791337&set=oa.465717243521026&type=3&theater#
Erebidae,裳蛾科,Sympis rufibasis,合裳蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 114,#https://www.facebook.com/photo.php?fbid=623804930981297&set=gm.606046459407583&type=1&theater#
Erebidae,裳蛾科,Syntomoides imaon,伊貝鹿蛾,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=399652980073344&set=o.177883715557195&type=3&theater#
Erebidae,裳蛾科,Sypnoides simplex,,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 103,#https://www.facebook.com/photo.php?fbid=331416713650014&set=oa.589852744440808&type=3&theater#
Erebidae,裳蛾科,Taicallimorpha albipuncta,烏麗燈蛾,合歡山的蛾 ;  Page : 329,#https://www.facebook.com/photo.php?fbid=640396066044679&set=oa.585519974874085&type=3&theater#
Erebidae,裳蛾科,Tamba lala,,,#https://www.facebook.com/photo.php?fbid=479077298893350&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Tamba taiwana,,鞍馬山的蛾1 ;  Page : 66,#https://www.facebook.com/photo.php?fbid=732964606795940&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Thyas honesta,,認識台灣的昆蟲 14夜蛾科--台灣鄰近地區的相關種類 ;  Page : 96,#https://www.facebook.com/photo.php?fbid=574111489296144&set=oa.463074407118643&type=3&theater#
Erebidae,裳蛾科,Thyas juno,庸肖毛翅夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 160,#https://www.facebook.com/photo.php?fbid=493567987411517&set=o.458912734201477&type=3&theater#
Erebidae,裳蛾科,Thysanoptyx incurvata,黑長斑苔蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 90,#https://www.facebook.com/photo.php?fbid=452471634847003&set=o.177883715557195&type=1&permPage=1#
Erebidae,裳蛾科,Trigonodes hyppasia,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 189,#https://www.facebook.com/photo.php?fbid=256845777791092&set=oa.465717243521026&type=3&theater#
Erebidae,裳蛾科,Utetheisa inconstans,,,#https://www.facebook.com/photo.php?fbid=633200383430800&set=gm.648807491878666&type=1&theater#
Erebidae,裳蛾科,Utetheisa lotrix,擬三色星燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 10,#http://www.facebook.com/photo.php?fbid=1477188986974&set=o.177883715557195&type=1&ref=nf#
